game_number,day,month,year,ball_1,ball_2,ball_3,ball_4,ball_5,ball_6,super_ball,MEGA_JACK_POT_WINNERS,MEGA_JACK_POT_SUMM,MEGA_PRISE_WINNERS,MEGA_PRISE_SUMM,5_plus_MegaBall_WINNERS,5_plus_MegaBall_SUMM,5_Balls_WINNERS,5_Balls_SUMM,4_plus_MegaBall_WINNERS,4_plus_MegaBall_SUMM,4_Balls_WINNERS,4_Balls_SUMM,3_plus_MegaBall_WINNERS,3_plus_MegaBall_SUMM,3_Balls_WINNERS,3_Balls_SUMM
471,4,3,2006,05,06,14,15,25,34,5,0,390000,0,0,0,0,4,1637,0,0,194,67,0,0,3287,5
476,22,3,2006,16,22,24,26,27,35,6,0,440000,0,0,0,0,1,6148,0,0,190,64,0,0,3005,5
477,25,3,2006,05,15,18,20,25,32,3,0,450000,0,0,0,0,8,809,0,0,349,37,0,0,3682,5
478,29,3,2006,01,05,17,21,22,31,0,0,460000,0,0,0,0,5,1143,0,0,156,73,0,0,2902,5
479,1,4,2006,07,09,31,33,35,36,4,0,470000,0,0,0,0,0,0,0,0,159,119,0,0,2983,5
489,6,5,2006,11,12,18,21,26,34,0,0,570000,0,0,0,0,6,1007,0,0,182,66,0,0,3203,5
490,10,5,2006,08,14,17,33,35,40,6,0,580000,0,0,0,0,4,1295,0,0,175,59,0,0,2878,5
491,13,5,2006,06,15,24,25,28,40,0,0,590000,0,0,0,0,4,1448,0,0,188,61,0,0,2888,5
492,17,5,2006,03,08,18,19,21,38,5,0,600000,0,0,0,0,9,627,0,0,220,51,0,0,3281,5
493,20,5,2006,01,03,08,21,33,42,8,0,610000,0,0,0,0,8,724,0,0,215,53,0,0,3315,5
494,24,5,2006,03,07,25,34,35,36,8,0,620000,0,0,0,0,2,2642,0,0,166,63,0,0,2630,5
495,27,5,2006,05,14,16,25,31,39,1,0,630000,0,0,0,0,7,800,0,0,269,41,0,0,3436,5
496,31,5,2006,04,16,17,18,26,37,7,0,640000,0,0,0,0,2,2750,0,0,132,82,0,0,2507,5
497,3,6,2006,03,20,23,28,35,41,5,0,650000,0,0,0,0,4,1409,0,0,204,55,0,0,3185,5
498,7,6,2006,02,09,11,38,40,41,8,0,660000,0,0,0,0,6,958,0,0,223,51,0,0,3522,5
499,10,6,2006,01,03,17,20,32,40,8,0,670000,0,0,0,0,4,1391,0,0,184,60,0,0,2984,5
500,14,6,2006,04,10,30,31,35,36,3,0,1000000,0,0,0,0,0,0,0,0,224,90,0,0,4020,5
501,17,6,2006,02,09,17,19,28,30,3,0,1020000,0,0,0,0,9,699,0,0,207,60,0,0,2972,5
502,21,6,2006,03,12,17,27,29,33,8,0,1040000,0,0,0,0,9,690,0,0,290,42,0,0,4078,5
503,25,6,2006,02,03,18,19,29,32,7,0,1060000,0,0,0,0,2,3023,0,0,138,87,0,0,2644,5
504,28,6,2006,03,11,14,24,26,42,7,0,1080000,0,0,0,0,2,2631,0,0,196,53,0,0,3170,5
505,1,7,2006,03,08,14,22,27,33,7,0,1100000,0,0,0,0,5,1156,0,0,217,53,0,0,3095,5
506,5,7,2006,01,05,20,25,37,42,6,0,1120000,0,0,0,0,8,714,0,0,222,51,0,0,3291,5
507,8,7,2006,04,07,08,15,16,42,6,0,1140000,0,0,0,0,22,273,0,0,282,42,0,0,3681,5
