ball_summ,win_times,perc
143,20,7
145,19,7
118,18,6
130,17,6
140,17,6
144,17,6
136,16,5
113,16,5
111,16,5
141,15,5
125,15,5
120,14,5
138,14,5
152,14,5
134,14,5
132,13,4
108,12,4
133,12,4
131,12,4
135,12,4
146,12,4
112,12,4
115,11,4
101,11,4
124,11,4
109,11,4
127,11,4
137,11,4
139,11,4
150,11,4
158,11,4
123,10,3
92,10,3
121,10,3
128,10,3
114,10,3
103,10,3
129,10,3
126,9,3
122,9,3
119,9,3
147,9,3
116,9,3
102,9,3
100,9,3
95,9,3
110,8,2
142,8,2
148,8,2
98,8,2
151,8,2
117,8,2
154,8,2
161,8,2
107,7,2
91,7,2
172,7,2
155,7,2
170,7,2
96,7,2
97,7,2
99,7,2
166,7,2
105,7,2
162,6,2
164,6,2
159,6,2
171,6,2
165,6,2
149,6,2
176,6,2
106,5,1
153,5,1
77,5,1
83,5,1
168,5,1
90,5,1
87,5,1
86,5,1
169,5,1
173,4,1
104,4,1
89,4,1
157,4,1
156,4,1
84,4,1
82,4,1
177,4,1
178,4,1
187,3,1
78,3,1
94,3,1
163,3,1
81,3,1
160,3,1
88,3,1
180,3,1
195,3,1
167,3,1
197,2,0
182,2,0
185,2,0
186,2,0
175,2,0
201,2,0
69,2,0
74,2,0
67,2,0
68,2,0
73,2,0
58,2,0
75,2,0
80,2,0
198,1,0
56,1,0
189,1,0
57,1,0
194,1,0
199,1,0
193,1,0
191,1,0
190,1,0
54,1,0
183,1,0
188,1,0
62,1,0
65,1,0
93,1,0
181,1,0
179,1,0
72,1,0
174,1,0
85,1,0
45,1,0
