ball_1,ball_2,ball_3,win_times
33,34,41,9
2,10,17,8
12,22,33,7
3,8,27,7
5,16,31,7
4,14,36,7
9,15,32,7
1,17,21,7
33,38,39,7
18,20,39,7
27,33,41,7
2,28,33,7
2,17,21,7
30,34,36,6
17,35,37,6
1,21,42,6
4,22,36,6
1,11,18,6
9,12,27,6
14,36,37,6
5,14,39,6
33,34,38,6
19,33,39,6
6,25,39,6
6,10,18,6
25,39,42,6
2,6,16,6
28,29,30,6
14,15,37,6
14,33,35,6
8,9,34,6
10,19,32,6
12,21,26,6
4,14,22,6
4,14,23,6
4,22,23,6
24,28,29,6
7,33,39,6
28,33,41,6
14,16,31,6
28,35,42,6
9,16,37,6
16,37,41,6
13,18,24,6
3,13,34,6
29,36,39,6
16,35,38,6
19,33,38,6
17,37,39,6
17,37,38,6
11,13,27,6
11,25,34,6
3,17,29,6
10,17,32,6
8,22,38,6
13,22,42,6
13,22,36,6
7,28,35,6
18,20,37,6
18,20,38,6
21,24,29,6
2,38,40,6
10,23,37,6
2,10,33,6
1,25,31,6
6,10,38,6
3,28,35,6
16,18,37,6
1,3,31,6
1,28,31,6
2,11,28,6
6,11,33,6
13,22,30,6
2,14,21,5
9,28,30,5
13,18,20,5
10,33,42,5
3,7,35,5
10,19,33,5
18,34,41,5
16,19,31,5
2,11,18,5
22,23,26,5
10,17,37,5
2,21,36,5
19,21,22,5
2,11,27,5
5,14,33,5
5,8,16,5
6,8,29,5
16,21,41,5
13,23,35,5
5,27,32,5
2,6,33,5
13,20,24,5
7,31,42,5
2,26,37,5
2,33,36,5
17,38,42,5
7,19,33,5
4,8,36,5
12,27,33,5
16,18,36,5
1,5,36,5
1,7,23,5
10,14,39,5
6,29,38,5
21,29,33,5
18,33,41,5
3,32,40,5
7,18,39,5
15,30,34,5
4,9,35,5
6,21,35,5
25,37,42,5
2,21,32,5
4,18,30,5
9,14,15,5
4,11,34,5
5,14,31,5
13,22,35,5
19,23,35,5
7,21,42,5
3,10,33,5
30,31,35,5
13,34,37,5
16,20,39,5
11,28,33,5
10,11,13,5
5,16,30,5
16,36,38,5
17,26,37,5
5,19,27,5
21,29,38,5
28,36,38,5
10,13,42,5
6,14,33,5
4,32,38,5
16,18,31,5
10,19,27,5
4,38,42,5
9,16,20,5
11,21,22,5
25,31,35,5
7,30,35,5
1,4,36,5
22,30,38,5
11,14,15,5
18,27,29,5
5,25,39,5
2,6,11,5
12,19,22,5
30,34,35,5
8,31,40,5
2,17,28,5
6,11,16,5
6,34,41,5
12,16,31,5
16,25,39,5
12,13,22,5
4,8,9,5
22,23,24,5
28,34,35,5
1,28,42,5
8,26,27,5
10,18,33,5
13,33,42,5
1,12,36,5
9,11,37,5
3,9,14,5
1,5,25,5
5,22,38,5
14,24,35,5
26,27,34,5
3,14,42,5
3,14,26,5
5,16,19,5
6,16,41,5
19,21,40,5
2,22,36,5
2,14,36,5
31,35,38,5
2,14,28,5
6,10,19,5
33,34,37,5
28,36,37,5
9,16,38,5
20,27,28,5
4,9,32,5
19,25,33,5
6,10,33,5
1,10,37,5
14,22,33,5
20,30,38,5
13,16,41,5
5,21,31,5
5,6,25,5
3,8,22,5
29,35,38,5
8,27,30,5
22,26,41,5
29,30,35,5
13,30,38,5
2,25,28,5
2,21,24,5
2,6,41,5
21,35,40,5
