ball_1,ball_2,ball_3,ball_4,win_times
16,18,20,39,3
4,11,25,34,3
2,10,17,37,3
4,14,22,36,3
17,37,38,42,3
1,23,37,38,3
17,21,30,36,3
6,10,14,18,3
23,30,36,39,3
2,14,26,37,3
9,19,22,33,3
4,9,15,32,3
2,5,25,27,3
33,36,38,39,3
3,4,6,11,3
18,33,34,41,3
1,17,21,39,3
2,14,21,36,3
13,18,20,24,3
13,19,23,35,3
1,3,28,31,3
5,14,21,31,3
1,7,8,9,3
9,16,35,38,3
3,9,14,27,3
10,13,33,42,3
28,34,35,42,3
5,14,22,33,2
4,9,16,25,2
1,15,25,35,2
6,28,35,42,2
8,27,30,38,2
17,28,37,42,2
21,22,29,38,2
5,36,39,40,2
8,26,27,38,2
24,28,35,42,2
3,8,27,35,2
17,22,30,35,2
17,22,30,38,2
5,6,22,33,2
9,14,19,33,2
16,17,19,30,2
8,10,21,23,2
4,19,33,40,2
22,24,28,29,2
6,14,21,35,2
12,17,19,22,2
17,26,28,37,2
3,14,15,28,2
2,25,27,34,2
6,14,15,28,2
2,11,18,27,2
21,24,28,29,2
10,23,24,34,2
12,19,21,22,2
10,20,21,40,2
10,23,36,38,2
6,25,39,42,2
21,24,29,38,2
6,11,21,40,2
17,35,37,39,2
9,14,15,32,2
10,15,31,38,2
8,19,33,39,2
13,27,32,37,2
18,20,24,40,2
1,21,37,38,2
2,4,22,29,2
8,19,25,33,2
11,13,27,32,2
8,19,25,39,2
16,36,37,42,2
9,13,27,37,2
13,18,20,37,2
4,18,22,26,2
11,13,20,24,2
9,11,13,37,2
8,25,33,39,2
2,10,11,18,2
5,10,12,29,2
6,16,34,41,2
19,25,33,39,2
26,28,33,41,2
12,14,16,36,2
18,28,29,30,2
3,5,13,34,2
2,18,26,36,2
1,2,11,18,2
18,24,26,40,2
8,10,15,31,2
2,5,14,39,2
5,22,23,24,2
8,10,13,40,2
10,19,41,42,2
25,27,32,40,2
4,12,16,36,2
10,40,3,33,2
8,10,31,38,2
8,10,15,38,2
4,8,9,21,2
33,37,38,39,2
6,13,20,39,2
14,18,30,36,2
19,33,38,39,2
6,9,25,30,2
4,8,21,36,2
6,38,41,42,2
7,19,33,39,2
17,37,38,39,2
9,16,28,30,2
17,33,37,39,2
18,22,26,30,2
8,15,31,38,2
6,19,34,38,2
5,6,14,35,2
1,8,9,30,2
5,19,27,32,2
11,16,18,36,2
4,6,25,33,2
7,8,9,30,2
5,27,32,38,2
1,9,12,20,2
8,14,27,40,2
19,27,28,34,2
10,20,30,32,2
11,18,26,36,2
22,23,24,27,2
4,12,19,40,2
16,19,28,34,2
1,12,20,23,2
1,12,20,42,2
3,19,37,40,2
1,5,28,29,2
9,11,25,34,2
10,14,20,21,2
7,29,36,39,2
7,19,40,42,2
28,29,30,42,2
20,28,29,42,2
9,28,30,42,2
1,7,9,30,2
1,3,11,12,2
16,29,35,38,2
22,28,36,37,2
8,27,29,30,2
1,3,12,30,2
7,20,37,39,2
12,16,37,41,2
5,23,38,40,2
1,10,19,27,2
1,12,18,30,2
12,16,23,41,2
3,11,18,30,2
11,12,18,30,2
3,7,24,42,2
