ball_1,ball_2,ball_3,ball_4,ball_5,win_times
8,19,25,33,39,2
3,14,21,26,32,2
7,13,30,31,42,2
8,27,29,30,39,2
20,25,29,34,41,2
15,16,18,20,39,2
11,12,18,21,26,2
1,15,19,21,26,2
1,15,19,21,32,2
1,15,19,26,32,2
1,7,8,9,30,2
1,15,21,26,32,2
1,19,21,26,32,2
15,19,21,26,32,2
5,14,16,25,39,2
4,9,15,32,39,2
6,10,14,17,18,2
8,10,15,31,38,2
2,4,15,20,22,1
6,8,29,33,37,1
8,10,29,33,37,1
6,10,29,33,37,1
2,4,15,22,29,1
6,8,10,33,37,1
6,8,10,29,37,1
2,4,15,20,29,1
4,15,20,22,29,1
2,4,20,22,29,1
2,15,20,22,29,1
4,6,7,18,34,1
14,16,18,37,42,1
9,16,18,37,42,1
9,14,18,37,42,1
9,14,16,37,42,1
9,14,16,18,42,1
9,14,16,18,37,1
6,13,21,26,35,1
2,13,21,26,35,1
2,6,21,26,35,1
2,6,13,26,35,1
2,6,13,21,35,1
2,6,13,21,26,1
15,30,34,40,42,1
12,30,34,40,42,1
12,15,34,40,42,1
12,15,30,40,42,1
12,15,30,34,42,1
12,15,30,34,40,1
6,8,10,29,33,1
5,6,14,15,25,1
12,16,20,29,36,1
1,2,17,21,39,1
4,20,29,36,38,1
4,18,29,36,38,1
4,18,20,36,38,1
4,18,20,29,38,1
4,18,20,29,36,1
22,27,32,34,37,1
7,27,32,34,37,1
7,22,32,34,37,1
7,22,27,34,37,1
7,22,27,32,37,1
7,22,27,32,34,1
26,30,33,37,39,1
4,30,33,37,39,1
4,26,33,37,39,1
4,26,30,37,39,1
4,26,30,33,39,1
4,26,30,33,37,1
10,13,31,39,40,1
8,13,31,39,40,1
18,20,29,36,38,1
1,2,17,21,41,1
9,16,20,29,36,1
1,2,17,39,41,1
4,6,7,18,39,1
9,12,16,29,36,1
9,12,16,20,36,1
9,12,16,20,29,1
11,14,26,28,37,1
2,14,26,28,37,1
2,11,26,28,37,1
2,11,14,28,37,1
2,11,14,26,37,1
2,11,14,26,28,1
10,22,37,39,40,1
9,22,37,39,40,1
9,10,37,39,40,1
9,10,22,39,40,1
9,10,22,37,40,1
9,10,22,37,39,1
2,17,21,39,41,1
1,17,21,39,41,1
1,2,21,39,41,1
9,12,20,29,36,1
8,21,22,29,38,1
4,6,7,34,39,1
1,3,5,6,41,1
6,7,20,37,39,1
6,7,17,37,39,1
6,7,17,20,39,1
6,7,17,20,37,1
3,5,6,36,41,1
1,5,6,36,41,1
1,3,6,36,41,1
1,3,5,36,41,1
1,3,5,6,36,1
4,6,18,34,39,1
2,17,18,21,24,1
1,17,18,21,24,1
1,2,18,21,24,1
1,2,17,21,24,1
1,2,17,18,24,1
1,2,17,18,21,1
16,21,26,33,34,1
6,21,26,33,34,1
6,17,20,37,39,1
7,17,20,37,39,1
1,9,14,21,39,1
1,9,14,21,42,1
1,3,5,13,26,1
13,29,30,35,40,1
9,29,30,35,40,1
9,13,30,35,40,1
9,13,29,35,40,1
9,13,29,30,40,1
9,13,29,30,35,1
13,22,34,37,39,1
5,22,34,37,39,1
5,13,34,37,39,1
5,13,22,37,39,1
5,13,22,34,39,1
5,13,22,34,37,1
9,14,21,39,42,1
1,14,21,39,42,1
1,9,21,39,42,1
1,9,14,39,42,1
6,16,26,33,34,1
6,16,21,33,34,1
6,16,21,26,34,1
14,20,27,30,36,1
14,18,20,30,36,1
14,18,20,27,36,1
14,18,20,27,30,1
10,23,24,34,39,1
2,23,24,34,39,1
2,10,24,34,39,1
2,10,23,34,39,1
2,10,23,24,39,1
2,10,23,24,34,1
21,22,29,33,38,1
8,22,29,33,38,1
8,21,29,33,38,1
8,21,22,33,38,1
8,10,13,39,40,1
8,21,22,29,33,1
6,7,18,34,39,1
4,7,18,34,39,1
14,18,27,30,36,1
18,20,27,30,36,1
6,16,21,26,33,1
1,2,28,31,33,1
11,13,18,28,33,1
10,13,18,28,33,1
10,11,18,28,33,1
10,11,13,28,33,1
10,11,13,18,33,1
10,11,13,18,28,1
7,16,18,20,39,1
2,16,18,20,39,1
2,7,18,20,39,1
2,7,16,20,39,1
2,7,16,18,39,1
2,7,16,18,20,1
2,28,31,33,42,1
1,28,31,33,42,1
1,2,31,33,42,1
1,2,28,33,42,1
1,2,28,31,42,1
8,10,31,39,40,1
13,18,20,37,40,1
8,10,13,31,40,1
24,25,26,29,41,1
8,9,11,16,38,1
8,9,11,16,37,1
22,23,25,31,42,1
7,23,25,31,42,1
7,22,25,31,42,1
7,22,23,31,42,1
7,22,23,25,42,1
7,22,23,25,31,1
16,25,26,29,41,1
4,10,11,13,14,1
16,24,26,29,41,1
16,24,25,29,41,1
16,24,25,26,41,1
16,24,25,26,29,1
23,24,31,35,38,1
16,24,31,35,38,1
16,23,31,35,38,1
16,23,24,35,38,1
8,9,11,37,38,1
8,9,16,37,38,1
8,11,16,37,38,1
9,11,16,37,38,1
1,19,20,31,38,1
1,16,20,31,38,1
1,16,19,31,38,1
1,16,19,20,38,1
1,16,19,20,31,1
3,17,25,29,40,1
1,17,25,29,40,1
1,3,25,29,40,1
1,3,17,29,40,1
1,3,17,25,40,1
1,3,17,25,29,1
19,20,32,33,36,1
7,20,32,33,36,1
7,19,32,33,36,1
7,19,20,33,36,1
7,19,20,32,36,1
7,19,20,32,33,1
16,23,24,31,38,1
16,23,24,31,35,1
5,14,19,33,34,1
18,21,24,36,40,1
18,21,24,29,36,1
18,19,26,30,31,1
16,19,26,30,31,1
16,18,26,30,31,1
16,18,19,30,31,1
16,18,19,26,31,1
16,18,19,26,30,1
4,12,16,32,36,1
2,12,16,32,36,1
2,4,16,32,36,1
2,4,12,32,36,1
2,4,12,16,36,1
2,4,12,16,32,1
19,24,31,33,41,1
10,24,31,33,41,1
10,19,31,33,41,1
10,19,24,33,41,1
18,21,24,29,40,1
18,21,29,36,40,1
3,14,19,33,34,1
18,24,29,36,40,1
3,5,19,33,34,1
3,5,14,33,34,1
3,5,14,19,34,1
3,5,14,19,33,1
7,16,17,26,28,1
1,16,17,26,28,1
1,7,17,26,28,1
1,7,16,26,28,1
1,7,16,17,28,1
1,7,16,17,26,1
2,6,18,34,41,1
1,6,18,34,41,1
1,2,18,34,41,1
1,2,6,34,41,1
1,2,6,18,41,1
1,2,6,18,34,1
21,24,29,36,40,1
16,19,20,31,38,1
4,10,11,13,22,1
8,10,13,31,39,1
15,19,23,26,40,1
6,17,18,27,40,1
6,17,18,23,40,1
6,17,18,23,27,1
19,23,26,40,42,1
15,23,26,40,42,1
15,19,26,40,42,1
15,19,23,40,42,1
15,19,23,26,42,1
20,27,34,35,36,1
4,10,11,14,22,1
9,27,34,35,36,1
9,20,34,35,36,1
9,20,27,35,36,1
9,20,27,34,36,1
9,20,27,34,35,1
6,10,16,32,37,1
1,10,16,32,37,1
1,6,16,32,37,1
6,17,23,27,40,1
6,18,23,27,40,1
17,18,23,27,40,1
17,26,27,29,34,1
18,20,24,37,40,1
13,20,24,37,40,1
13,18,24,37,40,1
1,3,5,26,34,1
13,18,20,24,40,1
13,18,20,24,37,1
9,14,19,22,33,1
5,14,19,22,33,1
5,9,19,22,33,1
5,9,14,22,33,1
5,9,14,19,33,1
5,9,14,19,22,1
26,27,29,34,36,1
17,27,29,34,36,1
17,26,29,34,36,1
17,26,27,34,36,1
17,26,27,29,36,1
1,6,10,32,37,1
1,6,10,16,37,1
1,6,10,16,32,1
4,9,23,26,40,1
4,9,16,23,40,1
4,9,16,23,26,1
6,14,19,29,33,1
1,14,19,29,33,1
1,6,19,29,33,1
1,6,14,29,33,1
1,6,14,19,33,1
1,6,14,19,29,1
13,22,24,30,38,1
3,22,24,30,38,1
3,13,24,30,38,1
3,13,22,30,38,1
3,13,22,24,38,1
3,13,22,24,30,1
10,11,13,14,22,1
4,11,13,14,22,1
4,10,13,14,22,1
4,9,16,26,40,1
4,16,23,26,40,1
20,21,29,36,37,1
9,16,23,26,40,1
15,21,29,36,37,1
15,20,29,36,37,1
15,20,21,36,37,1
15,20,21,29,37,1
15,20,21,29,36,1
8,14,15,21,42,1
7,14,15,21,42,1
7,8,15,21,42,1
7,8,14,21,42,1
7,8,14,15,42,1
7,8,14,15,21,1
13,18,20,23,24,1
11,18,20,23,24,1
11,13,20,23,24,1
11,13,18,23,24,1
11,13,18,20,24,1
11,13,18,20,23,1
1,3,5,13,34,1
4,12,27,34,35,1
1,3,13,26,34,1
1,12,18,30,41,1
23,25,26,28,41,1
20,25,26,28,41,1
20,23,26,28,41,1
20,23,25,28,41,1
20,23,25,26,41,1
20,23,25,26,28,1
12,30,32,39,40,1
5,30,32,39,40,1
5,12,32,39,40,1
5,12,30,39,40,1
5,12,30,32,40,1
5,12,30,32,39,1
17,21,33,39,41,1
16,21,33,39,41,1
16,17,33,39,41,1
