ball_1,ball_2,ball_3,ball_4,ball_5,ball_6,win_times
1,15,19,21,26,32,2
1,15,19,21,26,32,2
5,6,14,15,25,34,1
8,21,22,29,33,38,1
7,22,27,32,34,37,1
4,18,20,29,36,38,1
1,2,17,21,39,41,1
9,10,22,37,39,40,1
2,11,14,26,28,37,1
9,12,16,20,29,36,1
6,8,10,29,33,37,1
2,4,15,20,22,29,1
12,15,30,34,40,42,1
2,6,13,21,26,35,1
9,14,16,18,37,42,1
4,6,7,18,34,39,1
2,10,23,24,34,39,1
8,10,13,31,39,40,1
14,18,20,27,30,36,1
1,2,28,31,33,42,1
2,7,16,18,20,39,1
10,11,13,18,28,33,1
6,16,21,26,33,34,1
1,2,17,18,21,24,1
1,3,5,6,36,41,1
6,7,17,20,37,39,1
1,9,14,21,39,42,1
5,13,22,34,37,39,1
9,13,29,30,35,40,1
4,26,30,33,37,39,1
13,18,20,24,37,40,1
4,12,13,27,34,35,1
1,16,19,20,31,38,1
16,18,19,26,30,31,1
18,21,24,29,36,40,1
1,2,6,18,34,41,1
1,7,16,17,26,28,1
3,5,14,19,33,34,1
16,23,24,31,35,38,1
16,24,25,26,29,41,1
7,22,23,25,31,42,1
8,9,11,16,37,38,1
7,19,20,32,33,36,1
1,3,17,25,29,40,1
4,10,11,13,14,22,1
5,9,14,19,22,33,1
3,13,22,24,30,38,1
1,6,14,19,29,33,1
4,9,16,23,26,40,1
11,13,18,20,23,24,1
7,8,14,15,21,42,1
15,20,21,29,36,37,1
1,6,10,16,32,37,1
9,20,27,34,35,36,1
15,19,23,26,40,42,1
6,17,18,23,27,40,1
17,26,27,29,34,36,1
1,3,5,13,26,34,1
11,27,29,30,33,41,1
10,16,19,22,25,29,1
13,14,35,36,37,40,1
10,16,22,23,36,42,1
1,15,21,35,36,40,1
1,17,25,31,35,37,1
9,12,18,20,27,29,1
16,17,21,33,39,41,1
5,12,30,32,39,40,1
20,23,25,26,28,41,1
1,12,18,30,38,41,1
2,14,20,22,25,28,1
3,8,13,27,30,38,1
1,5,25,28,29,41,1
9,19,23,31,40,41,1
3,13,25,26,36,39,1
6,15,16,27,39,41,1
1,12,13,14,16,36,1
7,12,16,20,23,41,1
1,9,12,13,36,38,1
3,4,17,21,32,41,1
3,9,26,28,35,39,1
4,8,10,29,36,42,1
18,19,20,23,30,37,1
3,7,17,18,29,39,1
3,7,8,17,29,31,1
6,9,16,24,34,41,1
4,13,14,19,23,35,1
6,14,15,28,36,37,1
1,10,16,30,37,41,1
16,32,33,37,38,39,1
2,9,10,18,33,41,1
7,13,19,30,31,42,1
9,13,18,26,27,29,1
2,6,11,19,21,28,1
1,4,11,14,18,34,1
2,5,6,13,22,36,1
5,7,8,16,19,26,1
4,17,29,33,34,37,1
10,11,13,19,27,32,1
5,9,18,22,26,41,1
3,13,16,33,34,41,1
4,6,10,16,34,41,1
10,16,18,19,28,39,1
4,18,22,23,26,30,1
1,3,11,12,15,35,1
4,9,15,32,35,39,1
6,10,11,20,21,40,1
14,16,18,31,36,37,1
5,7,18,20,22,31,1
3,12,14,16,31,40,1
19,22,27,30,31,42,1
8,14,27,31,37,40,1
6,10,18,27,33,35,1
1,4,5,10,36,41,1
2,4,12,16,32,36,1
10,19,24,31,33,41,1
6,8,11,26,29,38,1
3,16,17,18,20,38,1
21,22,28,33,36,37,1
3,7,9,24,31,42,1
8,11,12,16,17,25,1
1,11,22,29,31,34,1
1,7,8,9,33,34,1
2,11,29,32,35,38,1
8,30,34,36,37,40,1
15,16,17,19,30,33,1
10,17,19,21,32,35,1
6,7,9,25,39,42,1
2,5,25,27,32,40,1
4,12,16,18,36,40,1
2,7,30,34,36,40,1
14,19,20,24,35,39,1
8,17,23,35,37,38,1
2,10,17,37,38,42,1
6,15,19,25,30,39,1
3,7,24,25,37,42,1
13,16,22,33,35,42,1
1,2,25,26,31,40,1
3,9,17,34,40,41,1
2,16,21,28,36,38,1
19,31,33,34,38,40,1
1,5,6,12,13,25,1
3,16,21,26,37,41,1
11,12,16,21,31,41,1
5,13,23,29,31,36,1
3,6,11,15,16,27,1
3,13,15,17,29,32,1
9,13,18,20,21,38,1
9,11,16,19,24,30,1
